9274,5833,238,9,7419,0.03856
8669,3916,60,7,6935,0.3934
5824,2700,54,8,4659,0.41727
4689,1679,127,8,3751,0.54837
756,712,187,8,604,0
3190,276,160,8,2552,0.95911
9558,6922,180,6,7646,0.00021
3115,924,225,8,2492,0.62069
9355,2601,186,6,7484,0.60917
4380,4347,94,9,3504,0
6011,2560,163,7,4808,0.397
7084,5648,223,9,5667,0
2653,1837,241,7,2122,0.00164
3774,2266,232,8,3019,0.07219
6557,6192,79,6,5245,0
2454,1351,58,7,1963,0.25046
4805,1718,110,9,3844,0.56324
7410,3239,156,8,5928,0.39189
813,793,207,8,650,0
7491,3478,105,9,5992,0.39781
8555,568,152,6,6844,0.94256
8946,3395,180,7,7156,0.44519
7297,5411,57,9,5837,0.00556
784,262,141,9,627,0.60111
878,475,246,9,702,0.18258
1278,470,212,7,1022,0.47833
1775,670,115,9,1420,0.53737
5706,5400,172,8,4564,0
9293,2498,215,7,7434,0.63464
6533,5024,166,7,5226,0
9115,5501,149,9,7292,0.09843
5076,4687,153,9,4060,0
7021,6444,123,9,5616,0
7576,6787,191,9,6060,0
6607,2133,168,8,5285,0.5907
1689,393,138,7,1351,0.75031
5943,791,171,7,4754,0.89153
7210,3088,89,8,5768,0.44457
3158,2207,197,9,2526,0.0022
2151,2010,100,7,1720,0
5596,4989,199,7,4476,0
9183,5604,211,8,7346,0.06514
2302,584,201,9,1841,0.72775
6047,2380,200,9,4837,0.47089
6446,5462,50,7,5156,0
8709,2970,233,8,6967,0.5068
8469,7762,196,8,6775,0
6245,5169,168,9,4996,0
5333,4173,145,7,4266,0
5284,1391,93,6,4227,0.70533
5206,4512,173,7,4164,0
5719,3302,62,7,4575,0.18404
4807,1428,75,8,3845,0.68583
8211,1749,51,6,6568,0.83
4700,2723,154,7,3760,0.12121
7606,7477,84,7,6084,0
7127,1488,240,8,5701,0.75077
2304,1013,211,8,1843,0.3757
3224,3189,91,6,2579,0
6374,3433,210,9,5099,0.20692
8241,7135,212,8,6592,0
6892,6333,58,8,5513,0
8256,7904,155,7,6604,0
8764,7371,67,6,7011,0
1059,628,165,7,847,0.09779
1049,443,182,7,839,0.39684
9976,2345,236,9,7980,0.76602
3034,2326,81,7,2427,0.00012
879,785,92,7,703,0
5667,2135,144,8,4533,0.49165
6661,3584,133,9,5328,0.21573
8395,3872,144,9,6716,0.35282
5298,1889,148,8,4238,0.55016
8440,1987,92,7,6752,0.76861
7942,947,97,8,6353,0.94175
9319,9137,218,6,7455,0
2311,310,171,6,1848,0.86339
1555,1374,212,6,1244,0
7485,5658,113,6,5988,7.00E-05
3579,2145,54,6,2863,0.15831
8378,6826,84,9,6702,0
9136,8788,96,8,7308,0
9179,7564,133,9,7343,0
2861,2683,173,8,2288,0
2727,1676,154,6,2181,0.06444
6034,2031,113,8,4827,0.61019
1340,962,183,7,1072,0.00042
5629,5204,114,8,4503,0
2531,2137,179,9,2024,0
1182,892,133,8,945,5.00E-05
862,706,140,6,689,0
421,281,106,7,336,0.02941
9778,3076,54,6,7822,0.66791
2793,1752,60,6,2234,0.10196
1655,1349,65,7,1324,0
8744,2045,205,9,6995,0.72931
269,262,184,6,215,0
1420,385,96,8,1136,0.72657
5790,1205,170,8,4632,0.79115
7396,6998,151,8,5916,0
5877,2220,116,6,4701,0.47461
5196,1040,76,9,4156,0.88051
502,328,154,6,401,0.02504
9317,1562,118,9,7453,0.9054
6753,6248,212,8,5402,0
7745,991,205,6,6196,0.85607
7304,904,196,6,5843,0.87302
5701,5189,119,8,4560,0
8263,3578,126,8,6610,0.40876
7872,2426,92,9,6297,0.69173
3334,2917,126,9,2667,0
6641,918,129,6,5312,0.86029
993,643,87,6,794,0.05353
5719,849,232,6,4575,0.8083
4082,2719,80,9,3265,0.0485
7138,7070,190,7,5710,0
7920,2087,89,6,6336,0.7005
