5256,1458,97,8,0
9974,2936,90,6,0
6785,5486,93,7,0
2647,1280,91,7,0
8951,380,57,9,0
2825,2266,53,6,0
4585,934,96,6,0
8290,1439,85,6,0
2600,2175,60,8,0
5573,5299,64,8,0
8573,929,82,8,0
5260,2911,97,9,0
6867,4018,67,8,0
4369,1120,72,8,0
7899,2764,79,10,0
6078,872,58,8,0
8420,1762,65,9,0
3959,3945,86,7,0
4088,2514,75,8,0
7218,3057,94,8,0
4850,1751,67,10,0
7332,4745,97,9,0
6255,2667,72,8,0
6378,3316,80,10,0
9774,9166,81,7,0
7396,5593,88,9,0
6704,5326,55,9,0
6187,388,79,9,0
2835,1583,99,7,0
4928,4323,97,9,0
7681,2241,88,8,0
5549,4014,78,7,0
4293,1809,81,7,0
7312,5672,66,10,0
9889,3430,58,10,0
7655,720,99,9,0
4599,2538,81,8,0
2616,1947,73,10,0
8264,3843,77,6,0
8245,1655,63,10,0
9283,4521,85,10,0
2759,1004,91,9,0
4133,47,66,9,0.93
3518,1376,58,6,0
6101,1685,83,8,0
6022,4671,75,8,0
9240,6964,77,10,0
4344,3065,89,8,0
4603,1621,92,6,0
2759,51,58,10,0
8667,4430,76,6,0
8284,3785,80,7,0
3906,2132,78,7,0
5375,5083,75,6,0
5834,1486,54,8,0
8011,3562,54,10,0
9901,3164,83,6,0
5377,1440,92,6,0
8817,8331,58,9,0
9290,6185,80,8,0
5241,3911,52,10,0
6972,3303,82,7,0
5854,700,60,10,0
4101,1058,64,7,0
9672,643,79,10,0
9920,505,70,6,0
6688,5854,56,7,0
4654,3348,81,10,0
5232,826,74,8,0
5932,2481,53,10,0
4665,2883,95,10,0
3949,2408,90,10,0
3000,435,60,6,0
8288,357,95,9,0
6299,1661,78,10,0
7827,5914,82,9,0
6225,3327,77,10,0
8558,385,92,8,0
3200,1573,99,8,0
7557,1967,98,10,0
7721,4884,84,8,0
3738,418,76,6,0
2613,39,98,8,0
2617,158,62,8,0
